City Name,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH),Latitude,Longitude
Stephenville,33.8,74,1,5.82,32.22,-98.2
Bulgan,-13.54,77,0,3.38,48.81,103.53
Rikitea,78.98,80,73,15.79,-23.12,-134.97
Ushuaia,56.21,71,75,7.67,-54.8,-68.3
Thompson,23.0,85,90,11.41,55.74,-97.86
Bambous Virieux,82.24,78,75,11.41,-20.34,57.76
Coquimbo,60.8,93,90,2.24,-29.95,-71.34
Butaritari,84.02,78,100,15.99,3.07,172.79
Qaanaaq,-26.34,99,100,2.08,77.48,-69.36
Ewo,91.0,42,81,2.51,-0.87,14.82
Tasiilaq,21.2,73,90,24.16,65.61,-37.64
Jega,92.26,6,45,13.73,12.22,4.38
Torbay,19.96,73,90,14.99,47.67,-52.73
Jishou,42.73,93,95,0.74,28.32,109.72
Hermanus,81.0,68,99,13.0,-34.42,19.23
Alofi,77.0,94,24,5.82,-19.06,-169.92
Bluff,68.0,81,100,7.0,-46.6,168.33
Airai,67.64,89,81,3.44,-8.93,125.41
Khakhea,94.5,14,51,9.66,-24.69,23.49
Boa Vista,84.2,62,40,18.34,2.82,-60.67
Tuatapere,68.0,81,100,7.0,-46.13,167.68
Sittwe,70.59,72,0,12.48,20.15,92.9
Katherine,77.0,94,90,4.7,-14.47,132.27
Pangnirtung,-5.94,99,100,3.24,66.15,-65.71
Osa,23.86,96,100,4.7,57.28,55.46
Atuona,81.0,78,9,16.84,-9.8,-139.03
Chokurdakh,-18.53,98,100,6.29,70.63,147.92
Busselton,60.01,69,0,5.99,-33.65,115.33
Anadyr,-38.11,65,20,8.95,64.75,177.48
Punta Arenas,51.57,81,90,16.11,-53.15,-70.92
Mataura,68.0,81,100,7.0,-46.19,168.86
Nikolskoye,25.63,86,90,11.18,59.7,30.79
Kodiak,15.8,56,20,31.09,57.79,-152.41
Fernie,41.77,86,90,21.92,49.5,-115.07
Itambacuri,86.07,61,6,2.75,-18.03,-41.69
La Maddalena,62.55,77,90,17.22,41.21,9.41
Jamestown,26.78,85,90,3.36,42.1,-79.24
Puerto Ayora,76.53,83,20,6.93,-0.74,-90.35
Albany,31.23,80,90,1.25,42.6,-73.97
Yellowknife,-20.51,74,5,6.93,62.46,-114.35
Adrar,83.82,7,0,13.18,20.5,-10.07
Sherbakul,1.4,64,0,8.95,54.63,72.4
Dikson,-14.69,95,0,11.99,73.51,80.55
Bonavista,19.99,81,99,10.0,48.65,-53.11
Dingle,69.51,90,30,9.37,11.0,122.67
Portland,52.56,71,90,19.46,45.52,-122.68
Padang,69.21,96,52,4.27,-0.95,100.35
Upernavik,-16.91,94,100,11.36,72.79,-56.15
Chui,77.76,53,0,5.75,-33.7,-53.46
Scarborough,49.53,61,100,26.4,54.28,-0.4
Portobelo,80.51,78,20,4.34,9.55,-79.65
Lewisporte,12.11,72,20,10.29,49.25,-55.05
Bengkulu,77.92,86,91,0.92,-3.8,102.27
Korla,32.0,94,0,1.99,41.76,86.15
Barra Patuca,76.73,82,0,6.11,15.8,-84.28
Gorontalo,73.94,93,78,4.21,0.54,123.06
Barrow,-27.4,74,75,5.82,71.29,-156.79
Tura,59.25,51,0,1.59,25.52,90.22
Puerto Carreno,86.0,70,100,14.99,6.19,-67.49
Goderich,28.0,87,60,8.23,43.75,-81.72
Imeni Poliny Osipenko,-7.73,97,100,1.28,52.42,136.49
Waverly,28.0,80,90,6.93,42.74,-84.62
Hobart,56.26,51,90,6.93,-42.88,147.33
New Norfolk,56.1,51,90,6.93,-42.78,147.06
Wasilla,5.22,84,90,3.36,61.58,-149.44
Vila Franca do Campo,64.4,88,75,20.8,37.72,-25.43
Jiwani,71.37,44,0,8.7,25.05,61.74
Arraial do Cabo,86.0,70,11,9.17,-22.97,-42.03
Guerrero Negro,59.04,28,0,3.94,27.98,-114.06
Kenai,2.57,84,90,5.82,60.55,-151.26
Baculin,71.85,95,100,6.17,7.45,126.58
Kapaa,71.71,88,40,20.8,22.08,-159.32
Kloulklubed,77.0,83,40,3.36,7.04,134.26
Svetlogorsk,36.12,97,100,9.13,52.63,29.73
Meulaboh,84.34,66,3,3.06,4.14,96.13
Santa Maria,71.6,94,75,4.7,-29.68,-53.81
Mugango,73.4,73,75,9.91,-1.68,33.7
Avera,40.66,85,90,4.7,33.19,-82.53
Vryburg,94.89,12,50,10.78,-26.96,24.73
Ponta do Sol,71.2,82,20,9.17,32.67,-17.1
Sechura,74.05,82,100,4.88,-5.56,-80.82
Barraute,23.4,92,90,11.41,48.43,-77.63
Sept-Iles,7.57,77,75,8.05,50.2,-66.38
Cape Town,80.78,57,39,17.22,-33.93,18.42
Thinadhoo,82.63,70,100,11.48,0.53,72.93
Dudinka,-29.2,73,98,6.71,69.41,86.18
Ambilobe,80.37,80,99,2.01,-13.2,49.05
Bereda,62.15,82,40,11.41,43.27,-7.54
Saint-Philippe,79.48,69,0,25.28,-21.36,55.77
Aklavik,-25.6,67,90,0.51,68.22,-135.01
Clyde River,-20.2,75,90,16.11,70.47,-68.59
Lompoc,44.01,81,1,5.82,34.64,-120.46
Kahului,69.31,69,75,10.29,20.89,-156.47
Klaksvik,37.4,64,61,11.41,62.23,-6.59
Hilo,67.6,77,90,9.17,19.73,-155.09
Miracema do Tocantins,86.02,63,29,4.07,-9.56,-48.4
Mercedes,80.33,56,0,3.0,-34.65,-59.43
Awjilah,66.72,38,0,2.89,29.11,21.29
Shache,33.55,94,0,1.12,38.42,77.24
Hambantota,82.4,74,0,8.05,6.12,81.12
Lagan,38.41,70,100,7.11,45.39,47.37
Los Llanos de Aridane,76.55,21,0,5.82,28.66,-17.92
Luau,74.05,90,100,4.99,-10.71,22.22
Prince Rupert,35.6,69,75,11.41,54.32,-130.32
San Cristobal,77.0,83,40,2.24,7.77,-72.22
Say,93.2,6,2,13.87,13.1,2.37
Kumul,12.29,59,0,3.31,42.8,93.45
Mahebourg,82.24,78,75,11.41,-20.41,57.7
Tsimmerbude,50.0,93,75,15.66,54.67,20.13
Queenstown,77.61,57,100,6.55,-31.9,26.88
Pathein,76.41,70,0,11.21,16.78,94.73
Kavieng,84.52,76,100,18.9,-2.57,150.8
Carnarvon,75.2,78,0,20.8,-24.87,113.63
Lagoa,59.23,69,100,23.82,39.05,-27.98
Morgan City,46.33,100,40,3.36,29.7,-91.21
Bredasdorp,78.8,61,68,12.75,-34.53,20.04
Cozumel,74.34,100,20,8.01,20.51,-86.95
Ribeira Grande,60.8,72,75,14.99,38.52,-28.7
Freeport,36.75,86,90,6.82,40.66,-73.58
Vaini,77.0,83,40,8.05,-21.2,-175.2
Kaputa,74.62,81,67,2.57,-8.47,29.66
Adelaide,63.01,68,75,8.05,-34.93,138.6
Bumba,89.4,40,94,3.2,2.18,22.47
Saint George,30.49,51,1,4.7,37.1,-113.58
Fonte Boa,76.87,92,68,4.0,-2.5,-66.27
Cidreira,74.37,70,67,7.14,-30.18,-50.21
Sinnamary,79.88,71,18,15.57,5.38,-52.95
Castro,79.36,64,23,4.74,-24.79,-50.01
Hithadhoo,82.76,72,100,13.24,-0.6,73.08
Avarua,77.0,88,0,3.36,-21.21,-159.78
Hay River,-18.4,75,75,3.36,60.82,-115.8
Wodonga,83.5,51,71,5.82,-36.12,146.88
Tukan,20.37,96,100,3.24,53.84,57.46
Aborlan,80.6,78,20,13.87,9.44,118.55
Saskylakh,-27.76,95,85,7.34,71.92,114.08
Tulun,-3.86,98,100,2.04,54.56,100.58
Cabo San Lucas,61.47,77,40,6.93,22.89,-109.91
Guarapari,86.65,58,5,14.99,-20.67,-40.5
Zaqatala,37.4,93,90,4.7,41.63,46.64
Podgornoye,33.8,98,90,6.71,51.73,39.15
Rocha,71.15,63,0,6.26,-34.48,-54.33
Isangel,78.8,94,20,15.1,-19.55,169.27
Seminole,60.17,93,90,3.36,28.71,-81.21
Mar del Plata,77.0,47,40,23.04,-38.0,-57.56
Pisco,71.33,30,90,2.24,-13.7,-76.22
Redwater,32.92,93,1,4.7,33.36,-94.25
Harper,86.31,67,40,6.73,4.38,-7.72
Cherskiy,-37.25,100,78,2.37,68.75,161.3
Port-Gentil,89.6,66,20,9.17,-0.72,8.78
Sabang,82.4,79,75,11.65,5.89,95.32
Alta,16.16,67,75,32.21,69.97,23.27
Qurayyat,57.2,44,75,23.04,31.33,37.34
Hong Kong,61.72,55,20,10.29,22.29,114.16
Katsuura,44.06,45,20,14.99,35.13,140.3
Beyneu,44.06,62,100,7.74,45.32,55.2
Mahon,59.0,87,20,9.17,39.89,4.27
Caravelas,79.57,80,0,7.49,-17.71,-39.25
Tambovka,1.4,84,94,4.47,50.1,128.05
Samarai,77.94,84,95,5.08,-10.62,150.67
Souillac,82.24,78,75,11.41,-20.52,57.52
Along,49.93,84,94,4.29,28.17,94.77
Giohar,91.18,27,100,13.0,2.78,45.5
Labuhan,76.17,92,100,2.82,-6.88,112.21
Omboue,86.76,66,85,7.72,-1.57,9.26
Lebu,71.56,63,69,4.99,-37.62,-73.65
Prachuap Khiri Khan,79.86,74,9,5.46,11.82,99.78
Yantal,-12.69,98,100,2.28,56.85,105.25
Okhotsk,-4.32,61,33,7.65,59.38,143.3
Yangi Marg`ilon,42.57,41,40,6.93,40.43,71.72
Torbat-e Jam,42.44,53,0,9.8,35.24,60.62
Manta,78.8,83,75,8.05,-0.95,-80.73
Yulara,86.0,42,43,13.87,-25.24,130.99
Port Shepstone,79.59,76,0,8.23,-30.74,30.45
East London,78.8,78,40,9.17,-33.02,27.91
Villablino,59.63,93,75,8.05,42.94,-6.32
Belmonte,84.2,66,75,9.17,-15.86,-38.88
Tres Arroyos,96.85,13,0,13.51,-38.37,-60.28
Talcahuano,60.8,93,90,9.17,-36.72,-73.12
Leningradskiy,-28.05,86,6,5.79,69.38,178.42
Tongren,42.48,95,100,4.61,27.72,109.19
Chernyshevskiy,-33.48,96,91,3.56,63.01,112.47
Tuktoyaktuk,-12.8,97,100,8.46,69.45,-133.04
Cabedelo,78.8,94,75,2.24,-6.98,-34.83
Port Elizabeth,78.8,74,75,17.22,-33.92,25.57
Troitskiy,16.74,89,100,9.13,57.06,63.75
Laguna,42.71,93,90,4.36,38.42,-121.42
Necochea,82.44,48,31,14.0,-38.55,-58.74
Poya,79.09,79,100,12.44,-21.35,165.15
Arroyo de la Encomienda,58.08,87,75,20.8,41.61,-4.8
Torata,64.85,70,17,7.36,-17.08,-70.84
Tadine,77.36,86,80,10.0,-21.55,167.88
Half Moon Bay,46.31,93,1,5.86,37.46,-122.43
Hamilton,34.3,93,90,2.21,39.18,-84.53
Ojinaga,30.56,64,1,0.67,29.57,-104.42
Khatanga,-31.81,97,20,10.02,71.97,102.5
Yeppoon,78.8,78,0,4.7,-23.13,150.73
Goundi,97.09,7,23,3.69,9.36,17.37
Ruteng,70.14,93,100,2.66,-8.61,120.47
Rio Grande,78.8,65,20,3.36,-32.03,-52.1
Vardo,14.0,72,75,12.75,70.37,31.11
Eilat,64.4,34,0,6.93,29.56,34.95
Komsomolsk,37.87,79,100,8.03,49.01,33.65
Vao,79.36,82,66,13.76,-22.67,167.48
Provideniya,-16.78,95,100,10.4,64.38,-173.3
Mount Pleasant,43.84,93,90,8.05,32.79,-79.86
Hualmay,76.01,67,98,6.58,-11.1,-77.61
Leon Valley,38.28,47,1,7.49,29.5,-98.62
Sibu,78.48,88,75,4.7,2.3,111.82
Mitsamiouli,89.6,62,40,8.05,-11.38,43.28
Laas,38.98,64,75,5.82,46.62,10.7
Clarence Town,84.76,66,12,8.05,-32.58,151.78
Whitehorse,1.6,91,90,4.7,60.72,-135.05
Ecoporanga,82.96,65,0,5.48,-18.37,-40.83
Rio Gallegos,62.6,45,75,14.99,-51.62,-69.22
Nome,-0.4,70,90,16.11,64.5,-165.41
Mugumu,63.61,92,95,4.81,-1.85,34.7
Beringovskiy,-23.03,95,0,17.47,63.05,179.32
Shelburne,24.28,100,90,5.82,44.08,-80.2
Port Lincoln,63.34,61,61,13.35,-34.73,135.87
Praia da Vitoria,60.8,87,40,18.01,38.73,-27.07
Pakxan,66.6,63,0,3.2,18.38,103.66
Sur,68.63,61,0,7.76,22.57,59.53
Bilibino,-38.76,100,1,1.41,68.05,166.44
Khandyga,-24.84,99,94,3.0,62.67,135.6
Sao Joao da Barra,91.4,59,73,5.95,-21.64,-41.05
Norman Wells,-23.8,67,75,5.14,65.28,-126.83
Meybod,64.4,16,20,18.34,32.25,54.02
Kamenka,37.99,84,100,8.01,51.32,42.77
Mackenzie,37.4,69,90,4.7,55.3,-123.17
Voss,39.94,98,100,5.99,60.62,6.42
La Roche-sur-Yon,55.45,82,90,14.99,46.67,-1.43
Pedernales,73.4,88,20,6.93,18.04,-71.74
Egvekinot,-31.4,94,38,9.55,66.32,-179.17
Rorvik,34.0,91,99,7.0,64.86,11.24
Nouadhibou,80.6,22,0,12.75,20.93,-17.03
Vila Velha,86.68,58,61,14.99,-20.33,-40.29
Port Alfred,75.99,87,97,3.0,-33.59,26.89
Stornoway,43.38,70,20,11.41,58.21,-6.39
Moussoro,85.57,8,52,14.25,13.64,16.49
Dakoro,87.13,7,0,15.23,14.51,6.76
Westport,35.15,100,90,3.6,41.14,-73.36
Maridi,92.89,13,57,5.01,4.92,29.47
Bismil,41.95,93,40,6.93,37.85,40.67
San Joaquin,77.34,84,41,4.63,10.26,-67.79
Umm Lajj,71.38,23,0,11.63,25.02,37.27
Ibra,72.1,30,0,7.25,22.69,58.53
Lokosovo,5.92,94,100,9.42,61.13,74.82
Tulum,75.69,100,20,5.79,20.22,-87.47
Lorengau,82.94,80,67,14.9,-2.02,147.27
Holme,48.22,81,96,12.75,56.11,10.17
Garissa,90.14,48,93,7.81,-0.45,39.64
Roald,33.51,86,75,5.82,62.58,6.13
Logstor,47.98,85,73,21.0,56.96,9.26
Sayyan,64.02,42,0,3.58,15.17,44.32
Porto-Novo,91.4,63,20,10.29,6.5,2.6
West Lorne,24.78,92,1,3.36,42.6,-81.6
Tateyama,44.22,45,20,14.99,34.98,139.87
Lamu,82.31,79,68,11.56,-2.27,40.9
Sopela,63.61,64,100,2.24,43.38,-2.98
Iqaluit,8.6,78,75,8.05,63.75,-68.51
Tiksi,-25.42,82,42,4.61,71.69,128.87
Novyy Buh,39.2,84,90,11.18,47.69,32.52
Gurupa,85.68,59,70,6.11,-1.41,-51.64
Nelson Bay,83.82,66,12,8.05,-32.72,152.15
Harlingen,49.86,81,1,10.29,26.19,-97.7
Valparaiso,60.76,100,90,4.7,-33.04,-71.63
Atherton,48.43,61,40,23.04,53.52,-2.49
Coruripe,83.34,69,65,12.01,-10.13,-36.18
Mrakovo,20.43,96,100,6.13,52.72,56.62
Mount Gambier,51.8,87,41,8.05,-37.83,140.77
Zhezkazgan,8.6,92,0,11.18,47.8,67.71
Odesa,50.0,76,75,8.95,46.48,30.73
'Ewa Beach,71.67,73,90,3.36,21.32,-158.01
Pevek,-27.67,99,100,3.42,69.7,170.31
Fortuna,48.81,100,90,1.97,40.6,-124.16
Narsaq,3.2,41,20,8.05,60.92,-46.05
Port Hardy,37.4,93,90,5.82,50.7,-127.42
Solyanka,43.16,56,40,8.95,46.39,48.02
Bethel,34.34,93,90,3.27,41.37,-73.41
Kimberley,95.0,20,20,9.17,-28.73,24.76
Taltal,69.03,67,21,8.66,-25.4,-70.48
Poum,80.58,82,100,21.25,-20.23,164.02
Bandarbeyla,76.62,70,100,19.39,9.49,50.81
Murakami,41.0,80,75,8.05,38.23,139.48
Hajnowka,48.43,90,100,1.99,52.74,23.58
Bojnourd,55.4,15,75,13.87,37.47,57.33
Queanbeyan,83.93,37,20,4.7,-35.35,149.23
